"カテゴリコード:CATEGORY_CD","カテゴリ名:CATEGORY_NAME","親カテゴリコード:CATEGORY_PARENT","表示順:DISP_ORDER","登録区分:REGIST_KBN","検索結果表示フラグ:SEARCH_DISP_FLG","タイトルタグ表示名:TITLE_TAG_NAME","メタタグキーワード:META_TAG_KEYWORD","メタタグディスクリプション:META_TAG_DESCRIPTION","カテゴリ説明文:CATEGORY_INFO","カテゴリ画像:CATEGORY_IMAGE","絞り込みカテゴリフラグ:NARROW_DOWN_CATEGORY_FLG","公開会員ランク:MEMBER_RANK","会員ランク別設定リスト:MEMBER_RANK_CONFIG_LIST"
"BRAND","ブランドから探す",,1,,,,,,,,,,
"TEST","TEST",,2,,,,,,,,,,
"ACCESSORY","アクセサリー",,39,,,,,,,,,,
"JC_ACCE","Just cavalli(ジャストカヴァリ)","ACCESSORY",40,,,,,,"<span>						<a href=""https://www.watch-world.jp/category/JC_ACCE/"">							Just cavalli(ジャストカヴァリ)						</a>					</span>","pickup-half.jpg",,,
"RCBYFM","roberto cavalli by FRANCK MULLER(ロベルト・カヴァリ バイ フランク・ミュラー)","BRAND",2,,,,,,"<div>    <p>""Roberto Cavalli by FRANCK MULLER""コレクションは、 超一流イタリアファッションハウスと最先端の高級スイス時計メーカーの 共同ブランディングから誕生しました。<br>		ロベルト・カヴァリ・コレクションにあるスタイルと独創的なシンボルは、 魅惑と創造性とエレガントさが融合したものです。<br>		このコレクションは、メゾン・カヴァリのエンブレムと、 いくつかの由緒あるスイス製ムーブメントの融合を美しく表現したものです。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_roberto.jpg"" width="""" alt=""roberto cavalli by FRANCK MULLER（ロベルト・カヴァリ バイ フランク・ミュラー）"" /></li>        <li><a href=""https://hww.misuzu.com/watch/roberto_cavalli/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""/client_info/MISUZU/view/userweb/images/brand/main_roberto.jpg"" width=""100%"" alt=""roberto cavalli by FRANCK MULLER（ロベルト・カヴァリ バイ フランク・ミュラー）"" /></div>","brand01.png",,,
"JC","Just cavalli(ジャスト カヴァリ)","BRAND",3,,,,,,"<div>    <p>ジャスト カヴァリは、自由な精神を誇る新たな世代向けに2000年、ロベルト・カヴァリが創設しました。当初から強い個性を持ち、特に革新的な素材や実験的なグラフィック使用に重点を置いたことから、留まることなく明日のスタイルを産み出す洗練されたシンクタンクとして世間から注目を浴びてきました。長年にわたり、ジャスト カヴァリは幅広い製品を通じて高い評価を得、国際ブランドの地位を築き、世界中の若い顧客のニーズを満たしています。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_just.jpg"" width="""" alt=""Just Cavalli（ジャスト カヴァリ）"" /></li>        <li><a href=""https://hww.misuzu.com/watch/just_cavalli/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""/client_info/MISUZU/view/userweb/images/brand/main_just.jpg"" width=""100%"" alt=""Just Cavalli（ジャスト カヴァリ）"" /></div>","brand06.png",,,
"DICI","DICI(ディーチ)","BRAND",4,,,,,,"<div>    <p>ディーチは独創性あふれるデザインと最高級の素材・職人技が生みだす、エレガンスと洗練を兼ね備えたスタイリッシュな美しさを誇る、イタリアのファッション＝ライフスタイルブランドです。<br>        ファッション感度の高い、スタイルのある方のためだけの作品づくりが特徴です。ブランドのルーツにあるイタリアらしさと、チーフデザイナー ガブリエル・グイディの刺激的でアーティスティックな才能が、デザイン性と華やかさとファッション性とを完璧な融合を可能にしています。ディーチは、時計＆ジュエリー界のアイコン的ブランドです。    </p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_dici.jpg"" width="""" alt=""DICI（ディーチ）"" /></li>        <li><a href=""https://hww.misuzu.com/watch/dici/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""/client_info/MISUZU/view/userweb/images/brand/main_dici.jpg"" width=""100%"" alt=""DICI（ディーチ）"" /></div>","brand04.png",,,
"ROCHAS","ROCHAS(ロシャス)","BRAND",5,,,,,,"<div>    <p>ロシャス（ROCHAS）は、パリで誕生したクチュールメゾンブランド。マルセル・ロシャスが1925年、弱冠23歳の時にパリでロシャスを創業したのが始まり。フェミニンで繊細かつ大胆なデザインで、オートクチュールをリードしたロシャス。その後、ファッションだけにとどまることなく香水に加えて、ジュエリー、時計まで幅広いコレクションを展開するブランドとして成長し、現在、多くのパリジェンヌから愛される人気メゾンとして注目を集めている。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_rochas.jpg"" width="""" alt=""ROCHAS（ロシャス）"" /></li>        <li><a href=""https://hww.misuzu.com/watch/rochas/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""/client_info/MISUZU/view/userweb/images/brand/main_rochas.jpg"" width=""100%"" alt=""ROCHAS（ロシャス）"" /></div>","brand03.png",,,
"CATOREX","CATOREX（カトレックス）","BRAND",6,,,,,,"<div>    <p>時計製造業界の中心地である、ジュラ州のレ･ブルルーの地にて時計作りを始めて150余年。カトレックスはスイスの伝統ある時計メーカーの中でも6代にわたり血脈の経営を続ける老舗の会社です。その歴史は、創始者であるジョルジュ イグナス カッティンにより19世紀初頭に幕を開けました。<br>		当時、貴族の嗜好品だった懐中時計を実用品として広めようと尽力し、彼の意志を継いだ息子のコンスタントが1858年に懐中時計を専門に製造するカッティン社を設立。高品質かつ低価格を実現させ、スイスの鉄道会社にまで導入されました。その伝統は、現在も6代ガイ カッティンへと引き継がれています。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_catorex.jpg"" width="""" alt=""CATOREX（カトレックス）"" /></li>        <li><a href=""https://hww.misuzu.com/watch/catorex/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""/client_info/MISUZU/view/userweb/images/brand/main_catorex.jpg"" width=""100%"" alt=""CATOREX（カトレックス）"" /></div>","img_logo_catorex.png",,,
"CANDY","Candy Time By MADISON NEW YORK(キャンディータイム)","BRAND",7,1,,,,,"<div>    <p>多彩なバリエーションと、手ごろな価格。遊び心のあるデザイン。<br>		ニューヨーク発の注目ブランドです。<br>		キャンディータイムは、もっともカラフルで、手頃な時計。<br>		日常の生活に、彩りを与えてくれます。<br>		candy timeは1987年にアメリカで、マディソンニューヨーク社は生まれました。</p>    <ul>        <li><img src=""/client_info/MISUZU/view/userweb/images/brand/logo_candy.jpg"" width="""" alt=""Candy Time（キャンディータイム）"" /></li>        <li><a href=""https://hww.misuzu.com/watch/candy_time/"" target=""_blank"">ブランド公式サイト</a></li>    </ul></div><div>    <img src=""/client_info/MISUZU/view/userweb/images/brand/main_candy.jpg"" width=""100%"" alt=""Candy Time（キャンディータイム）"" /></div>","brand08.png",,,
